name,form,dose
DULOXETINE HCL,CAPSULE DR,30 MG
DULOXETINE HCL,CAPSULE DR,20 MG
DULOXETINE HCL,CAPSULE DR,40 MG
DUOBRII,Lotion,0.01-0.045
DUOFILM,Liquid,17 %
DUOFILM,Patch,40 %
DUOFILM,PLASTER,40 %
DUOFILM,Gel,17 %
DUOPA,INT PMP SP,4.63-20/ML
DUPIXENT PEN,PEN INJCTR,300 MG/2ML
DUPIXENT PEN,PEN INJCTR,200MG/1.14
DUPIXENT SYRINGE,Syringe,300 MG/2ML
DUPIXENT SYRINGE,Syringe,200MG/1.14
DUPIXENT SYRINGE,Syringe,100MG/0.67
DURACLON,Tablet,0.1 MG
DURACLON,Tablet,0.2 MG
DURACLON,Tablet,0.3 MG
DURACLON,VIAL,1000MCG/10
DURACLON,VIAL,5000MCG/10
DURAFLU,Tablet,60-20-325
DURAGEL CALLUS REMOVERS,Patch,40 %
DURAMORPH,AMPUL,0.5 MG/ML
DURAMORPH,AMPUL,1 MG/ML
DURAVENT DM,Tablet,395-15-10
DURAVENT PE,Tablet,395MG-10MG
DUREZOL,Drops,0.05 %
DUROLANE,Syringe,60 MG/3 ML
DURYSTA,IMPLANT,10 MCG
DUTASTERIDE,Capsule,0.5 MG
DUTASTERIDE-TAMSULOSIN,CPMP 24HR,0.5-0.4 MG
DYANAVEL XR,SUS BP 24H,2.5 MG/ML
DYANAVEL XR,TAB BP 24H,10 MG
DYANAVEL XR,TAB BP 24H,20 MG
DYANAVEL XR,TAB BP 24H,15 MG
DYANAVEL XR,TAB BP 24H,5 MG
DYMISTA,SPRAY/PUMP,137-50 MCG
DYNA-HEX,Liquid,4 %
DYNA-HEX,Liquid,2 %
DYRENIUM,Capsule,50 MG
DYRENIUM,Capsule,100 MG
DYSPORT,VIAL,500 UNIT
DYSPORT,VIAL,300 UNIT
E-200,Capsule,90 MG
EAR DROPS,Drops,6.5 %
EAR DROPS,Drops,Not Applicable
EAR WAX DROPS,Drops,6.5 %
EAR WAX REMOVAL,Drops,6.5 %
EAZZZE THE PAIN,Tablet,500MG-25MG
EAZZZE THE PAIN,Tablet,250-250-38
EC-NAPROSYN,Tablet,375 MG
EC-NAPROSYN,Tablet,250 MG
EC-NAPROSYN,Tablet,500 MG
EC-NAPROSYN,TABLET DR,500 MG
EC-NAPROSYN,TABLET DR,375 MG
EC-NAPROSYN,Oral Suspension,125 MG/5ML
EC-NAPROXEN,TABLET DR,500 MG
EC-NAPROXEN,TABLET DR,375 MG
ECONAZOLE NITRATE,Cream (g),1 %
ECONTRA EZ,Tablet,1.5 MG
ECONTRA ONE-STEP,Tablet,1.5 MG
ECOTRIN,TABLET DR,81 MG
ECOTRIN,TABLET DR,325 MG
ECOTRIN,TABLET DR,650 MG
ECOTRIN,TABLET DR,500 MG
ECOZA,Foam,1 %
ED A-HIST,Tablet,4MG-10MG
ED BRON GP,Liquid,100-5 MG/5
ED CHLORPED JR,SYRUP,2 MG/5 ML
ED-A-HIST DM,Liquid,4-10-15/5
ED-APAP,Liquid,160 MG/5ML
ED-SPAZ,Subligual Tab,0.125 MG
ED-SPAZ,Tablet,0.125 MG
ED-SPAZ,TAB RAPDIS,0.125 MG
ED-SPAZ,Drops,0.125MG/ML
ED-SPAZ,ELIXIR,125MCG/5ML
ED-SPAZ,VIAL,0.5 MG/ML
EDARBI,Tablet,80 MG
EDARBI,Tablet,40 MG
EDARBYCLOR,Tablet,40 MG-25MG
EDARBYCLOR,Tablet,40-12.5 MG
EDECRIN,Tablet,25 MG
EDEX 2-PK KIT,Kit,20 MCG
EDEX 2-PK KIT,Kit,40 MCG
EDEX 2-PK KIT,Kit,10 MCG
EDEX 6-PK KIT,Kit,40 MCG
EDEX 6-PK KIT,Kit,20 MCG
EDEX 6-PK KIT,Kit,10 MCG
EDLUAR,Subligual Tab,10 MG
EDLUAR,Subligual Tab,5 MG
EDURANT,Tablet,25 MG
EEMT,Tablet,1.25-2.5MG
EFAVIRENZ,Tablet,600 MG
EFAVIRENZ,Capsule,50 MG
EFAVIRENZ,Capsule,200 MG
EFAVIRENZ-EMTRIC-TENOFOV DISOP,Tablet,600-200MG
EFAVIRENZ-LAMIVU-TENOFOV DISOP,Tablet,400-300 MG
EFAVIRENZ-LAMIVU-TENOFOV DISOP,Tablet,600-300MG
EFFER-K,TABLET EFF,20 MEQ
EFFER-K,TABLET EFF,10 MEQ
EFFER-K,TABLET EFF,25 MEQ
EFFERVESCENT ANTACID-PAIN RLF,TABLET EFF,325-1916MG
EFFERVESCENT ANTACID-PAIN RLF,TABLET EFF,500-1985MG
EFFERVESCENT PAIN RELIEF,TABLET EFF,324 MG
EFFERVESCENT PAIN RELIEF,TABLET EFF,325-1916MG
EFFEXOR XR,Capsule ER 24H,75 MG
EFFEXOR XR,Capsule ER 24H,37.5 MG
EFFEXOR XR,Capsule ER 24H,150 MG
EFFEXOR XR,TAB ER 24,225 MG
EFFEXOR XR,TAB ER 24,150 MG
EFFEXOR XR,TAB ER 24,75 MG
EFFEXOR XR,TAB ER 24,37.5 MG
EFFIENT,Tablet,10 MG
EFFIENT,Tablet,5 MG
EFUDEX,Cream (g),5 %
EFUDEX,Cream (g),0.5 %
EFUDEX,Solution,5 %
EFUDEX,Solution,2 %
EFUDEX,VIAL,500MG/10ML
EFUDEX,VIAL,1 G/20 ML
EFUDEX,VIAL,5 G/100 ML
EFUDEX,VIAL,2.5 G/50ML
EGRIFTA SV,VIAL,2 MG
ELAPRASE,VIAL,6 MG/3 ML
ELASTIDERM,Cream (g),4 %
ELCYS,VIAL,50 MG/ML
ELELYSO,VIAL,200 UNIT
ELEPSIA XR,Tablet ER 24H,1000 MG
ELEPSIA XR,Tablet ER 24H,1500 MG
ELESTRIN,GEL MD PMP,0.87G
ELETRIPTAN HBR,Tablet,40 MG
ELETRIPTAN HBR,Tablet,20 MG
ELFOLATE,Tablet,15 MG
ELFOLATE,Tablet,7.5 MG
ELIDEL,Cream (g),1 %
ELIGARD,Syringe,30 MG
ELIGARD,Syringe,45 MG
ELIGARD,Syringe,7.5 MG
ELIGARD,Syringe,22.5 MG
ELIMITE,Cream (g),5 %
ELINEST,Tablet,0.3-0.03MG
ELIQUIS,Tablet,5 MG
ELIQUIS,Tablet,2.5 MG
ELIQUIS,TAB DS PK,5 MG (74)
ELITEK,VIAL,1.5 MG
ELITEK,VIAL,7.5 MG
ELIXOPHYLLIN,ELIXIR,80 MG/15ML
ELLA,Tablet,30 MG
ELLENCE,VIAL,50 MG
ELLENCE,VIAL,200 MG
ELLENCE,VIAL,50 MG/25ML
ELLENCE,VIAL,200MG/0.1L
ELMIRON,Capsule,100 MG
ELOCTATE,VIAL,250 UNIT
ELOCTATE,VIAL,500 UNIT
ELOCTATE,VIAL,750 UNIT
ELOCTATE,VIAL,1000 UNIT
ELOCTATE,VIAL,1500 UNIT
ELOCTATE,VIAL,2000 UNIT
ELOCTATE,VIAL,3000 UNIT
ELOCTATE,VIAL,4000 UNIT
ELOCTATE,VIAL,5000 UNIT
ELOCTATE,VIAL,6000 UNIT
ELURYNG,VAG RING,.12-.015MG
ELYXYB,Solution,120 MG/4.8
ELZONRIS,VIAL,1000MCG/ML
EMCYT,Capsule,140 MG
EMEND,Capsule,40 MG
EMEND,Capsule,80 MG
EMEND,Capsule,125 MG
EMEND,CAP DS PK,125MG-80MG
EMERPHED,Syringe,25 MG/5 ML
EMERPHED,VIAL,50MG/ML(1)
EMERPHED,VIAL,50 MG/10ML
EMERPHED,AMPUL,50MG/ML(1)
EMETROL,Solution,Not Applicable
EMFLAZA,Tablet,6 MG
EMFLAZA,Tablet,30 MG
EMFLAZA,Tablet,18 MG
EMFLAZA,Tablet,36 MG
EMFLAZA,Oral Suspension,22.75MG/ML
EMGALITY PEN,PEN INJCTR,120 MG/ML
EMGALITY SYRINGE,Syringe,120 MG/ML
EMGALITY SYRINGE,Syringe,300MG/3ML
EMPAVELI,VIAL,1080 MG/20
EMPLICITI,VIAL,300 MG
EMPLICITI,VIAL,400 MG
EMSAM,Patch,6 MG/24 HR
EMSAM,Patch,12MG/24HR
EMSAM,Patch,9 MG/24 HR
EMTRICITABINE,Capsule,200 MG
EMTRICITABINE-TENOFOVIR DISOP,Tablet,200-300 MG
EMTRICITABINE-TENOFOVIR DISOP,Tablet,133-200 MG
EMTRICITABINE-TENOFOVIR DISOP,Tablet,100-150 MG
EMTRICITABINE-TENOFOVIR DISOP,Tablet,167-250 MG
EMTRIVA,Capsule,200 MG
EMVERM,Chewable Tablet,100 MG
ENALAPRIL MALEATE,Tablet,5 MG
ENALAPRIL MALEATE,Tablet,2.5 MG
ENALAPRIL MALEATE,Tablet,10 MG
ENALAPRIL MALEATE,Tablet,20 MG
ENALAPRIL MALEATE,Solution,1 MG/ML
ENALAPRIL-HYDROCHLOROTHIAZIDE,Tablet,10 MG-25MG
ENALAPRIL-HYDROCHLOROTHIAZIDE,Tablet,5MG-12.5MG
ENALAPRILAT,VIAL,1.25 MG/ML
ENBREL,Syringe,50MG/ML(1)
ENBREL,Syringe,25MG/0.5ML
ENBREL,VIAL,25MG/0.5ML
ENBREL,VIAL,25 MG
ENBREL MINI,CARTRIDGE,50MG/ML(1)
ENBREL SURECLICK,PEN INJCTR,50MG/ML(1)
ENDACOF-DM,Solution,1-2.5-5/5
ENDARI,POWD PACK,5 G
ENDOCET,Tablet,10MG-325MG
ENDOCET,Tablet,5 MG-325MG
ENDOCET,Tablet,2.5-325 MG
ENDOCET,Tablet,7.5-325 MG
ENDOMETRIN,INSERT,100 MG
ENDUR-ACIN,Tablet,500 MG
ENDUR-ACIN,Tablet,100 MG
ENDUR-ACIN,Tablet,1000 MG
ENDUR-ACIN,Tablet,250 MG
ENDUR-ACIN,Tablet,750 MG
ENDUR-ACIN,Tablet,50 MG
ENDUR-ACIN,Capsule ER,250 MG
ENDUR-ACIN,Capsule ER,500 MG
ENDUR-ACIN,Capsule,500 MG
ENDUR-ACIN,Capsule,455MG(500)
ENDUR-ACIN,Capsule,400(500MG)
ENDUR-C WITH ROSE HIPS,Tablet,500 MG
ENDUR-C WITH ROSE HIPS,Tablet,1000 MG
ENDUR-C WITH ROSE HIPS,Tablet,250 MG
ENDUR-C WITH ROSE HIPS,Tablet,100 MG
ENDUR-C WITH ROSE HIPS,Tablet,1500 MG
ENDUR-C WITH ROSE HIPS,Chewable Tablet,500 MG
ENDUR-C WITH ROSE HIPS,Chewable Tablet,250 MG
ENDUR-C WITH ROSE HIPS,Chewable Tablet,125 MG
ENDUR-C WITH ROSE HIPS,Capsule,500 MG
ENDUR-C WITH ROSE HIPS,Capsule ER,500 MG
ENDUR-C WITH ROSE HIPS,SYRUP,500 MG/5ML
ENDUR-C WITH ROSE HIPS,Liquid,500MG/15ML
ENDUR-C WITH ROSE HIPS,Powder,814 MG/G
ENDUR-C WITH ROSE HIPS,Powder,Not Applicable
ENDUR-C WITH ROSE HIPS,LOZENGE,60 MG
ENDUR-C WITH ROSE HIPS,LOZENGE,53 MG
ENDUR-C WITH ROSE HIPS,WAFER,500 MG
ENDUR-C WITH ROSE HIPS,EFFPOWDPKT,1000 MG
ENDUR-C WITH ROSE HIPS,POWD PACK,500 MG
ENEMA,ENEMA,19G-7G/118
ENEMA,ENEMA,19G-7G/197
ENEMA DISPOSABLE,ENEMA,19G-7G/118
ENEMEEZ,ENEMA,283 MG/5ML
ENGERIX-B ADULT,Syringe,20 MCG/ML
ENGERIX-B ADULT,VIAL,20 MCG/ML
ENGERIX-B PEDIATRIC-ADOLESCENT,Syringe,10 MCG/0.5
ENHERTU,VIAL,100 MG
ENJAYMO,VIAL,1100 MG/22
ENOXAPARIN SODIUM,Syringe,40MG/0.4ML
ENOXAPARIN SODIUM,Syringe,80MG/0.8ML
ENOXAPARIN SODIUM,Syringe,100 MG/ML
ENOXAPARIN SODIUM,Syringe,60MG/0.6ML
ENOXAPARIN SODIUM,Syringe,120MG/.8ML
ENOXAPARIN SODIUM,Syringe,30MG/0.3ML
ENOXAPARIN SODIUM,Syringe,150 MG/ML
ENOXAPARIN SODIUM,VIAL,300MG/3ML
ENPRESSE,Tablet,6-5-10
ENSKYCE,Tablet,0.15-0.03
ENSPRYNG,Syringe,120 MG/ML
ENSTILAR,Foam,0.005-.064
ENTACAPONE,Tablet,200 MG
ENTADFI,Capsule,5 MG-5 MG
ENTECAVIR,Tablet,0.5 MG
ENTECAVIR,Tablet,1 MG
ENTEREG,Capsule,12 MG
ENTEX T,Tablet,375MG-60MG
ENTRESTO,Tablet,24 MG-26MG
ENTRESTO,Tablet,49 MG-51MG
ENTRESTO,Tablet,97MG-103MG
ENTYVIO,VIAL,300 MG
ENULOSE,Solution,10 G/15 ML
ENVARSUS XR,Tablet ER 24H,1 MG
ENVARSUS XR,Tablet ER 24H,4 MG
ENVARSUS XR,Tablet ER 24H,0.75 MG
ENZOCLEAR,CLEANSER,10 %
ENZOCLEAR,CLEANSER,5 %
ENZOCLEAR,CLEANSER,6 %
ENZOCLEAR,CLEANSER,7 %
ENZOCLEAR,Gel,5 %
ENZOCLEAR,Gel,2.5 %
ENZOCLEAR,Gel,10 %
ENZOCLEAR,Foam,9.8 %
ENZOCLEAR,TOWELETTE,9.5 %
EOVIST,VIAL,2.5MMOL/10
EOVIST,VIAL,3.75 MMOL
EPANED,Tablet,5 MG
EPANED,Tablet,2.5 MG
EPANED,Tablet,10 MG
EPANED,Tablet,20 MG
EPANED,Solution,1 MG/ML
EPCLUSA,Tablet,400-100 MG
EPCLUSA,Tablet,200MG-50MG
EPCLUSA,PELET PACK,150-37.5MG
EPCLUSA,PELET PACK,200MG-50MG
EPHEDRINE SULFATE,Syringe,25 MG/5 ML
EPHEDRINE SULFATE,VIAL,50MG/ML(1)
EPHEDRINE SULFATE,VIAL,50 MG/10ML
EPHEDRINE SULFATE,AMPUL,50MG/ML(1)
EPHEDRINE SULFATE-NACL,Syringe,50 MG/10ML
EPHEDRINE SULFATE-NACL,Syringe,50 MG/5 ML
EPHEDRINE SULFATE-NACL,Syringe,25 MG/5 ML
EPHEDRINE SULFATE-NACL,Syringe,100MG/10ML
EPHEDRINE SULFATE-NACL,Syringe,10MG/ML(1)
EPHRINE NOSE DROPS,Drops,1 %
EPIDIOLEX,Solution,100 MG/ML
EPIDUO,GEL W/PUMP,0.1 %-2.5%
EPIDUO,GEL W/PUMP,0.3 %-2.5%
EPIDUO FORTE,GEL W/PUMP,0.1 %-2.5%
EPIDUO FORTE,GEL W/PUMP,0.3 %-2.5%
EPIFOAM,Foam,1 %-1 %
EPINASTINE HCL,Drops,0.05 %
EPINEPHRINE,AUTO INJCT,0.3MG/0.3
EPINEPHRINE,AUTO INJCT,0.15MG/0.3
EPINEPHRINE,AUTO INJCT,0.15/0.15
EPINEPHRINE,AMPUL,1 MG/ML(1)
EPINEPHRINE,Syringe,0.1 MG/ML
EPINEPHRINE,VIAL,1 MG/ML
EPINEPHRINE,VIAL,1 MG/10 ML
EPINEPHRINE CHLORIDE,Solution,1 MG/ML
EPINEPHRINE PROFESSIONAL EMS,Kit,1 MG/ML(1)
EPINEPHRINE PROFESSIONAL KIT,Kit,1 MG/ML(1)
EPINEPHRINESNAP-EMS,Kit,1 MG/ML(1)
EPINEPHRINESNAP-V,Kit,1 MG/ML(1)
EPIPEN,AUTO INJCT,0.3MG/0.3
EPIPEN,AUTO INJCT,0.15MG/0.3
EPIPEN,AUTO INJCT,0.15/0.15
EPIPEN,AMPUL,1 MG/ML(1)
EPIPEN,Syringe,0.1 MG/ML
EPIPEN,VIAL,1 MG/ML
EPIPEN,VIAL,1 MG/10 ML
EPIPEN 2-PAK,AUTO INJCT,0.3MG/0.3
EPIPEN 2-PAK,AUTO INJCT,0.15MG/0.3
EPIPEN 2-PAK,AUTO INJCT,0.15/0.15
EPIPEN 2-PAK,AMPUL,1 MG/ML(1)
EPIPEN 2-PAK,Syringe,0.1 MG/ML
EPIPEN 2-PAK,VIAL,1 MG/ML
EPIPEN 2-PAK,VIAL,1 MG/10 ML
EPIPEN JR,AUTO INJCT,0.3MG/0.3
EPIPEN JR,AUTO INJCT,0.15MG/0.3
EPIPEN JR,AUTO INJCT,0.15/0.15
EPIPEN JR,AMPUL,1 MG/ML(1)
EPIPEN JR,Syringe,0.1 MG/ML
EPIPEN JR,VIAL,1 MG/ML
EPIPEN JR,VIAL,1 MG/10 ML
EPIPEN JR 2-PAK,AUTO INJCT,0.3MG/0.3
EPIPEN JR 2-PAK,AUTO INJCT,0.15MG/0.3
EPIPEN JR 2-PAK,AUTO INJCT,0.15/0.15
EPIPEN JR 2-PAK,AMPUL,1 MG/ML(1)
EPIPEN JR 2-PAK,Syringe,0.1 MG/ML
EPIPEN JR 2-PAK,VIAL,1 MG/ML
EPIPEN JR 2-PAK,VIAL,1 MG/10 ML
EPIRUBICIN HCL,VIAL,50 MG
EPIRUBICIN HCL,VIAL,200 MG
EPIRUBICIN HCL,VIAL,50 MG/25ML
EPIRUBICIN HCL,VIAL,200MG/0.1L
EPITOL,Tablet,200 MG
EPIVIR,Tablet,150 MG
EPIVIR,Tablet,300 MG
EPIVIR,Solution,10 MG/ML
EPIVIR HBV,Solution,25 MG/5 ML
EPIVIR HBV,Tablet,100 MG
EPLERENONE,Tablet,25 MG
EPLERENONE,Tablet,50 MG
EPOGEN,VIAL,2000/ML
EPOGEN,VIAL,4000/ML
EPOGEN,VIAL,10000/ML
EPOGEN,VIAL,20000/ML
EPOGEN,VIAL,20000/2ML
EPOGEN,VIAL,3000/ML
EPOPROSTENOL SODIUM,VIAL,0.5 MG
EPOPROSTENOL SODIUM,VIAL,1.5 MG
EPRONTIA,Solution,25 MG/ML
EPSOLAY,Cream (g),5 %
EPTIFIBATIDE,VIAL,75MG/100ML
EPTIFIBATIDE,VIAL,2 MG/ML
EPTIFIBATIDE,PLAST. BAG,75MG/100ML
EPZICOM,Tablet,600-300MG
EQUETRO,CPMP 12HR,300 MG
EQUETRO,CPMP 12HR,200 MG
EQUETRO,CPMP 12HR,100 MG
ERAXIS (WATER DILUENT),VIAL,50 MG
ERAXIS (WATER DILUENT),VIAL,100 MG
ERBITUX,VIAL,100MG/50ML
ERBITUX,VIAL,200MG/0.1L
ERGOCALCIFEROL,Drops,200 MCG/ML
ERGOLOID MESYLATES,Tablet,1 MG
ERGOMAR,Subligual Tab,2 MG
ERGOTAMINE-CAFFEINE,Tablet,1 MG-100MG
ERIVEDGE,Capsule,150 MG
ERLEADA,Tablet,60 MG
ERLOTINIB HCL,Tablet,150 MG
ERLOTINIB HCL,Tablet,100 MG
ERLOTINIB HCL,Tablet,25 MG
ERMEZA,Solution,150MCG/5ML
ERRIN,Tablet,0.35 MG
ERTACZO,Cream (g),2 %
ERTAPENEM,VIAL,1 G
ERWINASE,VIAL,10000 UNIT
ERY,MED. SWAB,2 %
ERY-TAB,TABLET DR,250 MG
ERY-TAB,TABLET DR,333 MG
ERY-TAB,TABLET DR,500 MG
ERYGEL,Ointment,5 MG/GRAM
ERYGEL,Tablet,500 MG
ERYGEL,Tablet,250 MG
ERYGEL,Gel,2 %
ERYGEL,TABLET DR,250 MG
ERYGEL,TABLET DR,500 MG
ERYGEL,TABLET DR,333 MG
ERYGEL,Solution,2 %
ERYGEL,CAPSULE DR,250 MG
ERYPED 200,Oral Suspension,200 MG/5ML
ERYPED 200,Oral Suspension,400 MG/5ML
ERYPED 200,Tablet,400 MG
ERYPED 400,Oral Suspension,200 MG/5ML
ERYPED 400,Oral Suspension,400 MG/5ML
ERYPED 400,Tablet,400 MG
ERYTHROCIN LACTOBIONATE,VIAL,500 MG
ERYTHROCIN STEARATE,Tablet,250 MG
ERYTHROMYCIN,Ointment,5 MG/GRAM
ERYTHROMYCIN,Tablet,500 MG
ERYTHROMYCIN,Tablet,250 MG
ERYTHROMYCIN,Gel,2 %
ERYTHROMYCIN,TABLET DR,250 MG
ERYTHROMYCIN,TABLET DR,500 MG
ERYTHROMYCIN,TABLET DR,333 MG
ERYTHROMYCIN,Solution,2 %
ERYTHROMYCIN,CAPSULE DR,250 MG
ERYTHROMYCIN ETHYLSUCCINATE,Oral Suspension,200 MG/5ML
ERYTHROMYCIN ETHYLSUCCINATE,Oral Suspension,400 MG/5ML
ERYTHROMYCIN ETHYLSUCCINATE,Tablet,400 MG
ERYTHROMYCIN LACTOBIONATE,VIAL,500 MG
ERYTHROMYCIN STEARATE,Tablet,250 MG
ERYTHROMYCIN-BENZOYL PEROXIDE,Gel,3 %-5 %
ESBRIET,Capsule,267 MG
ESBRIET,Tablet,267 MG
ESBRIET,Tablet,801 MG
ESCITALOPRAM OXALATE,Tablet,10 MG
ESCITALOPRAM OXALATE,Tablet,20 MG
ESCITALOPRAM OXALATE,Tablet,5 MG
ESCITALOPRAM OXALATE,Solution,5 MG/5 ML
ESCITALOPRAM OXALATE,Solution,10 MG/10ML
ESGIC,Tablet,50-325-40
ESGIC,Capsule,50-300-40
ESGIC,Capsule,50-325-40
ESMOLOL HCL,VIAL,100MG/10ML
ESMOLOL HCL-SODIUM CHLORIDE,IV SOLN,2500MG/250
ESMOLOL HCL-SODIUM CHLORIDE,IV SOLN,2000MG/100
ESMOLOL HCL-WATER,IV SOLN,2500MG/250
ESMOLOL HCL-WATER,IV SOLN,2000MG/100
ESOMEPRAZOLE MAGNESIUM,CAPSULE DR,40 MG
ESOMEPRAZOLE MAGNESIUM,CAPSULE DR,20 MG
ESOMEPRAZOLE MAGNESIUM,SUSPDR PKT,10 MG
ESOMEPRAZOLE MAGNESIUM,SUSPDR PKT,40 MG
ESOMEPRAZOLE MAGNESIUM,SUSPDR PKT,20 MG
ESOMEPRAZOLE MAGNESIUM,TABLET DR,20 MG
ESOMEPRAZOLE SODIUM,VIAL,40 MG
ESOMEPRAZOLE SODIUM,VIAL,20 MG
ESPEROCT,VIAL,500 (+/-)
ESPEROCT,VIAL,1000 (+/-)
ESPEROCT,VIAL,1500 (+/-)
ESPEROCT,VIAL,2000 (+/-)
ESPEROCT,VIAL,3000 (+/-)
ESTARYLLA,Tablet,0.25-0.035
ESTAZOLAM,Tablet,2 MG
ESTAZOLAM,Tablet,1 MG
ESTRACE,CREAM/APPL,0.01 %
ESTRACE,Tablet,1 MG
ESTRACE,Tablet,2 MG
ESTRACE,Tablet,10 MCG
ESTRACE,Tablet,0.5 MG
ESTRACE,GEL PACKET,1 MG/GRAM
ESTRACE,GEL PACKET,0.5MG/0.5G
ESTRACE,GEL PACKET,0.25/0.25G
ESTRACE,GEL PACKET,0.75/0.75G
ESTRACE,GEL PACKET,1.25/1.25G
ESTRACE,PELLET(EA),6 MG
ESTRADIOL,CREAM/APPL,0.01 %
ESTRADIOL,Tablet,1 MG
ESTRADIOL,Tablet,2 MG
ESTRADIOL,Tablet,10 MCG
ESTRADIOL,Tablet,0.5 MG
ESTRADIOL,GEL PACKET,1 MG/GRAM
ESTRADIOL,GEL PACKET,0.5MG/0.5G
ESTRADIOL,GEL PACKET,0.25/0.25G
ESTRADIOL,GEL PACKET,0.75/0.75G
ESTRADIOL,GEL PACKET,1.25/1.25G
ESTRADIOL,PELLET(EA),6 MG
ESTRADIOL (ONCE WEEKLY),Patch ,0.05MG/24H
ESTRADIOL (ONCE WEEKLY),Patch ,0.1MG/24HR
ESTRADIOL (ONCE WEEKLY),Patch ,.025MG/24H
ESTRADIOL (ONCE WEEKLY),Patch ,.075MG/24H
ESTRADIOL (ONCE WEEKLY),Patch ,.0375MG/24
ESTRADIOL (ONCE WEEKLY),Patch ,0.06MG/24H
ESTRADIOL (TWICE WEEKLY),PATCH TDSW,0.1MG/24HR
ESTRADIOL (TWICE WEEKLY),PATCH TDSW,0.05MG/24H
ESTRADIOL (TWICE WEEKLY),PATCH TDSW,.025MG/24H
ESTRADIOL (TWICE WEEKLY),PATCH TDSW,.0375MG/24
ESTRADIOL (TWICE WEEKLY),PATCH TDSW,.075MG/24H
ESTRADIOL VALERATE,VIAL,20 MG/ML
ESTRADIOL VALERATE,VIAL,40 MG/ML
ESTRADIOL-NORETHINDRONE ACETAT,Tablet,0.5-0.1 MG
ESTRADIOL-NORETHINDRONE ACETAT,Tablet,1 MG-0.5MG
ESTRING,VAG RING,7.5MCG/24H
ESTROGEL,GEL MD PMP,1.25 G
ESTROGEN-METHYLTESTOSTERONE,Tablet,0.625-1.25
ESTROGEN-METHYLTESTOSTERONE,Tablet,1.25-2.5MG
ESZOPICLONE,Tablet,3 MG
ESZOPICLONE,Tablet,2 MG
ESZOPICLONE,Tablet,1 MG
ETESEVIMAB (EUA),VIAL,700MG/20ML
ETHACRYNATE SODIUM,VIAL,50 MG
ETHACRYNIC ACID,Tablet,25 MG
ETHAMBUTOL HCL,Tablet,400 MG
ETHAMBUTOL HCL,Tablet,100 MG
ETHAMOLIN,AMPUL,5 %
ETHOSUXIMIDE,Solution,250 MG/5ML
ETHOSUXIMIDE,Capsule,250 MG
ETHYNODIOL-ETHINYL ESTRADIOL,Tablet,1 MG-50MCG
ETHYNODIOL-ETHINYL ESTRADIOL,Tablet,1 MG-35MCG
ETHYOL,VIAL,500 MG
ETODOLAC,Tablet,400 MG
ETODOLAC,Tablet,500 MG
ETODOLAC,Capsule,300 MG
ETODOLAC,Capsule,200 MG
ETODOLAC ER,Tablet ER 24H,500 MG
ETODOLAC ER,Tablet ER 24H,400 MG
ETODOLAC ER,Tablet ER 24H,600 MG
ETOMIDATE,VIAL,2 MG/ML
ETONOGESTREL-ETHINYL ESTRADIOL,VAG RING,.12-.015MG
ETOPOPHOS,VIAL,100 MG
ETOPOSIDE,Capsule,50 MG
ETOPOSIDE,VIAL,20 MG/ML
ETRAVIRINE,Tablet,200 MG
ETRAVIRINE,Tablet,100 MG
EUCRISA,Ointment,2 %
EUFLEXXA,Syringe,20 MG/2 ML
EULEXIN,Capsule,125 MG
EURAX,Cream (g),10 %
EURAX,Lotion,10 %
EUTHYROX,Tablet,25 MCG
EUTHYROX,Tablet,50 MCG
EUTHYROX,Tablet,75 MCG
EUTHYROX,Tablet,112 MCG
EUTHYROX,Tablet,200 MCG
EUTHYROX,Tablet,150 MCG
EUTHYROX,Tablet,125 MCG
EUTHYROX,Tablet,100 MCG
EUTHYROX,Tablet,175 MCG
EUTHYROX,Tablet,88 MCG
EUTHYROX,Tablet,137 MCG
EVAC-U-GEN,Tablet,8.6 MG
EVAC-U-GEN,SYRUP,8.8MG/5ML
EVAC-U-GEN,SYRUP,176MG/5ML
EVAC-U-GEN,Capsule,8.6 MG
EVAMIST,SPRAY,1.53/SPRAY
EVEKEO,Tablet,10 MG
EVEKEO,Tablet,5 MG
EVEKEO ODT,TAB RAPDIS,20 MG
EVEKEO ODT,TAB RAPDIS,5 MG
EVEKEO ODT,TAB RAPDIS,10 MG
EVEKEO ODT,TAB RAPDIS,15 MG
EVENITY,Syringe,105MG/1.17
EVENITY (2 SYRINGES),Syringe,210MG/2.34
EVEROLIMUS,Tablet,1 MG
EVEROLIMUS,Tablet,0.5 MG
EVEROLIMUS,Tablet,0.25 MG
EVEROLIMUS,Tablet,10 MG
EVEROLIMUS,Tablet,7.5 MG
EVEROLIMUS,Tablet,0.75 MG
EVEROLIMUS,Tablet,5 MG
EVEROLIMUS,Tablet,2.5 MG
EVEROLIMUS,TAB SUSP,2 MG
EVEROLIMUS,TAB SUSP,3 MG
EVEROLIMUS,TAB SUSP,5 MG
EVISTA,Tablet,60 MG
EVKEEZA,VIAL,1200MG/8ML
EVKEEZA,VIAL,345 MG/2.3
EVOCLIN,Lotion,1 %
EVOCLIN,Gel,1 %
EVOCLIN,Solution,1 %
EVOCLIN,CREAM/APPL,2 %
EVOCLIN,MED. SWAB,1 %
EVOCLIN,GEL DAILY,1 %
EVOCLIN,Foam,1 %
